time,visual,color_r,color_g,color_b,param1,param2,param3,param4,param5,param6,param7,param8,param9,param10
0,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4.47,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4.6,fadeFromToNext,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4.8,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5.9,fadeFromToNext,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6.18,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6.38,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6.8,oneColor,244,158,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7.3,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7.69,fadeFromToNext,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8.29,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10.12,cyclo,255,0,0,0,0,0,0.78,10,-1,-1,-1,-1,-1
15.375,fadeFromToNext,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16.2,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16.97,beatFade,255,255,255,0.2,1,-1,-1,-1,-1,-1,-1,-1,-1
19,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19.5,fadeFromToNext,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21.5,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21.6,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23.28,oneColor,78,244,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23.4,oneColor,66,134,244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23.54,oneColor,220,66,244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23.69,oneColor,255,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23.7,fadeFromToNext,255,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23.9,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30.58,lengthUp,255,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
31.81,beatFade,255,0,0,0.6,1,-1,-1,-1,-1,-1,-1,-1,-1
39,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,fadeFromToNext,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,oneColor,255,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42.1,theaterChase,255,0,0,0,0,0,0.3,3,-1,-1,-1,-1,-1
45,theaterChase,255,0,0,0,0,0,0.15,3,-1,-1,-1,-1,-1
45.5,theaterChase,255,0,0,0,0,0,0.07,3,-1,-1,-1,-1,-1
46,theaterChase,255,0,0,0,0,0,0.05,3,-1,-1,-1,-1,-1
46.67,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,morphRainbow,1,1,1,1,100,-1,-1,-1,-1,-1,-1,-1,-1
48,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49.5,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50.5,morphRainbow,1,1,1,1,0.5,-1,-1,-1,-1,-1,-1,-1,-1
54.32,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54.72,morphRainbow,1,1,1,1,100,-1,-1,-1,-1,-1,-1,-1,-1
56.25,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57.2,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57.67,fadeFromToNext,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57.8,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
58.209,lengthBeat,58,255,7,0,0,0,0.5,1,0.5,-1,-1,-1,-1
60.1,oneColor,255,0,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60.8,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61.15,oneColor,255,0,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61.5,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61.7,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61.9,twinkle,255,255,255,0,0,0,0.5,-1,-1,-1,-1,-1,-1
64.93,beatFade,255,255,255,0.5,1,-1,-1,-1,-1,-1,-1,-1,-1
66.84,theaterChase,255,255,255,0,0,0,0.3,3,-1,-1,-1,-1,-1
68.3,theaterChase,255,255,255,0,0,0,0.15,3,-1,-1,-1,-1,-1
73.7,theaterChase,255,255,255,0,0,0,0.07,3,-1,-1,-1,-1,-1
75.2,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75.47,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75.55,beatFade,255,255,255,0.12,0,-1,-1,-1,-1,-1,-1,-1,-1
76.4,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
77.4,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
77.73,morphRainbow,1,1,1,1,100,-1,-1,-1,-1,-1,-1,-1,-1
78.73,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80.23,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80.76,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
81.23,theaterChase,255,0,0,255,255,255,0.25,3,-1,-1,-1,-1,-1
85.05,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
85.45,morphRainbow,1,1,1,1,100,-1,-1,-1,-1,-1,-1,-1,-1
86.98,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87.93,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
88.4,fadeFromToNext,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
88.53,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
88.939,lengthBeat,0,255,255,0,0,0,1,1,0.5,-1,-1,-1,-1
90.83,oneColor,255,0,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91.53,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91.88,oneColor,255,0,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
92.75,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93.08,morphRainbow,1,1,1,1,100,-1,-1,-1,-1,-1,-1,-1,-1
94.08,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95.58,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
96.11,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
96.58,cyclo,255,255,255,0,0,0,0.5,3,-1,-1,-1,-1,-1
100.4,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100.8,morphRainbow,1,1,1,1,100,-1,-1,-1,-1,-1,-1,-1,-1
102.33,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103.28,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103.75,fadeFromToNext,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103.88,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104.289,lengthBeat,30,0,255,0,0,0,0,1,0.5,-1,-1,-1,-1
107.23,oneColor,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107.35,oneColor,255,46,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107.47,oneColor,0,255,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107.59,oneColor,255,10,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107.71,oneColor,255,220,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107.83,oneColor,0,15,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107.95,oneColor,0,255,135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108.13,fadeFromToNext,255,255,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110.97,oneColor,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
